experiment,session,trial,timestamp,animal_id,strain,sex,researcher,drug,treatment,exit#,metric,value
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,total_distance_m,4.1499
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,time_still_s,107.571
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,avg_speed_mps,0.345602
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,n_movement_bout,11
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,time_in_exit_zone_s,0
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,mean_distance_to_exit_cm,50.1127
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,path_efficiency,0.127601
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,time_in_center_s,3.3137
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,n_center_entries,2
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,n_feedback_error_bouts,578
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,feedback_error_duration_s,26.9728
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,trial_duration_s,27.5064
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,total_distance_m,4.13209
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,time_still_s,13.7174
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,avg_speed_mps,0.311813
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,n_movement_bout,15
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,latency_to_exit_s,27.3632
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,time_in_exit_zone_s,0.143263
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,mean_distance_to_exit_cm,60.1789
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,path_efficiency,0.162483
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,time_in_center_s,2.11312
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,n_center_entries,2
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,n_feedback_error_bouts,174
VASTcont,S02,T04,2026-02-24T14:16:36,1,?,?,Hayden,n/a,RBSF,1,feedback_error_duration_s,8.95392
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,trial_duration_s,9.78649
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,total_distance_m,1.67449
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,time_still_s,5.2147
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,avg_speed_mps,0.381154
