parent_directory,file_name,id,tx,sex,phase,trial,escape_arm,start_datetime
EHRAM Cohort 1 DARPA videos,Test 64.mp4,3207,RBSD,F,train_2,2,0,2025-11-19T13:48:19
EHRAM Cohort 1 DARPA videos,Test 65.mp4,3201,RBSD,F,train_2,3,3,2025-11-19T13:53:03
EHRAM Cohort 1 DARPA videos,Test 66.mp4,3202,RBSD,F,train_2,3,3,2025-11-19T13:57:06
EHRAM Cohort 1 DARPA videos,Test 67.mp4,3203,RBSD,F,train_2,3,0,2025-11-19T14:00:34
EHRAM Cohort 1 DARPA videos,Test 68.mp4,3205,RBSD,F,train_2,3,4,2025-11-19T14:05:11
EHRAM Cohort 1 DARPA videos,Test 69.mp4,3206,RBSD,F,train_2,3,7,2025-11-19T14:10:36
EHRAM Cohort 1 DARPA videos,Test 70.mp4,3207,RBSD,F,train_2,3,5,2025-11-19T14:18:06
EHRAM Cohort 1 DARPA videos,Test 71.mp4,3201,RBSD,F,train_2,4,1,2025-11-19T14:24:08
EHRAM Cohort 1 DARPA videos,Test 72.mp4,3202,RBSD,F,train_2,4,5,2025-11-19T14:28:16
EHRAM Cohort 1 DARPA videos,Test 73.mp4,3203,RBSD,F,train_2,4,6,2025-11-19T14:33:51
EHRAM Cohort 1 DARPA videos,Test 74.mp4,3205,RBSD,F,train_2,4,0,2025-11-19T14:38:25
EHRAM Cohort 1 DARPA videos,Test 75.mp4,3206,RBSD,F,train_2,4,2,2025-11-19T14:42:16
EHRAM Cohort 1 DARPA videos,Test 76.mp4,3207,RBSD,F,train_2,4,6,2025-11-19T14:45:49
EHRAM Cohort 1 DARPA videos,Test 77.mp4,3208,NoSD,F,train_2,1,6,2025-11-19T15:05:05
EHRAM Cohort 1 DARPA videos,Test 78.mp4,3209,GHSD,F,train_2,1,1,2025-11-19T15:10:42
EHRAM Cohort 1 DARPA videos,Test 79.mp4,3210,GHSD,F,train_2,1,3,2025-11-19T15:14:54
EHRAM Cohort 1 DARPA videos,Test 80.mp4,3211,GHSD,F,train_2,1,1,2025-11-19T15:18:28
EHRAM Cohort 1 DARPA videos,Test 81.mp4,3212,GHSD,F,train_2,1,6,2025-11-19T15:22:11
EHRAM Cohort 1 DARPA videos,Test 82.mp4,3213,GHSD,F,train_2,1,3,2025-11-19T15:30:09
EHRAM Cohort 1 DARPA videos,Test 83.mp4,3214,GHSD,F,train_2,1,2,2025-11-19T15:34:28
EHRAM Cohort 1 DARPA videos,Test 84.mp4,3208,NoSD,F,train_2,2,2,2025-11-19T15:37:31
EHRAM Cohort 1 DARPA videos,Test 85.mp4,3209,GHSD,F,train_2,2,6,2025-11-19T15:41:47
EHRAM Cohort 1 DARPA videos,Test 86.mp4,3210,GHSD,F,train_2,2,4,2025-11-19T15:48:53
EHRAM Cohort 1 DARPA videos,Test 87.mp4,3211,GHSD,F,train_2,2,4,2025-11-19T15:52:42
EHRAM Cohort 1 DARPA videos,Test 88.mp4,3212,GHSD,F,train_2,2,7,2025-11-19T15:58:21
EHRAM Cohort 1 DARPA videos,Test 89.mp4,3213,GHSD,F,train_2,2,0,2025-11-19T16:05:44
EHRAM Cohort 1 DARPA videos,Test 90.mp4,3214,GHSD,F,train_2,2,3,2025-11-19T16:09:32
EHRAM Cohort 1 DARPA videos,Test 91.mp4,3208,NoSD,F,train_2,3,0,2025-11-19T16:16:04
EHRAM Cohort 1 DARPA videos,Test 92.mp4,3209,GHSD,F,train_2,3,2,2025-11-19T16:22:51
EHRAM Cohort 1 DARPA videos,Test 93.mp4,3210,GHSD,F,train_2,3,2,2025-11-19T16:26:12
EHRAM Cohort 1 DARPA videos,Test 94.mp4,3211,GHSD,F,train_2,3,5,2025-11-19T16:30:06
EHRAM Cohort 1 DARPA videos,Test 95.mp4,3212,GHSD,F,train_2,3,0,2025-11-19T16:36:14
EHRAM Cohort 1 DARPA videos,Test 96.mp4,3213,GHSD,F,train_2,3,5,2025-11-19T16:41:46
